lusNiu ,lusIpk ,lusTglTerdaftar ,lusTglLulus
G1A012002 ,3.22,2012-05-17,2016-11-15
G1A012003 ,3.57,2012-08-01,2016-11-16
G1A012004 ,3.14,2012-05-15,2018-07-25
G1A012005 ,3.11,2012-08-01,2019-07-29
G1A012006 ,3.48,2012-04-18,2017-03-07
G1A012007 ,3.66,2012-04-19,2017-07-24
G1A012008 ,3.16,2012-04-15,2017-08-07
G1A012010 ,2.98,2012-08-01,2019-03-13
G1A012011 ,3.34,2012-08-01,2016-11-25
G1A012013 ,3.42,2012-08-01,2016-11-15
G1A012014 ,3.74,2012-05-14,2016-10-19
G1A012015 ,3.47,2012-08-01,2017-12-14
G1A012016 ,3.22,2012-05-28,2018-08-30
G1A012017 ,3.29,2012-08-01,2019-01-10
G1A012018 ,3.37,2012-05-04,2016-10-12
G1A012019 ,3.28,2012-06-08,2017-03-08
G1A012020 ,3.4,2012-08-01,2017-07-21
G1A012022 ,3.72,2012-08-01,2016-07-20
